Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
225,",,",Puisak,"1,411","1,657","1,425","1,261","1,287","1,312","1,358","1,343","1,351","1,345","1,320","1,283",
,,,,,,,,,,,,,,,"1,363"
226,",,",Danta,"1,570","1,620","1,381","1,218","1,226","1,249","1,410","1,333","1,358","1,592","1,577","1,553",
,,,,,,,,,,,,,,,"1,424"
227,",,",Cauliflower,"2,376","1,547","1,386","1,779","2,017","3,167","1,809","4,375","3,500","5,002","2,412","1,591",
,,,,,,,,,,,,,,,"2,580"
228,",,",Cabbage,"1,468","1,045",826,973,"1,581","2,522","1,703","3,225","2,925","3,366","1,893","1,198",
,,,,,,,,,,,,,,,"1,894"
229,",,",Olcopy,"2,010","1,550","1,316","1,300",-,-,"1,700","3,000",-,"5,775","2,184","1,335",
,,,,,,,,,,,,,,,"2,241"
230,Vegetable :,Carrot,"2,950","1,885","1,629","1,831","2,889","3,938","4,652","5,124","5,051","6,912","5,186","2,638",
,,,,,,,,,,,,,,,"3,724"
231,",,",Greenbanana,384,332,321,301,343,354,353,381,346,346,358,318,
,,,,,,,,,,,,,,,345
232,",,",Radish,905,"1,033","1,114","1,200","1,467","2,000","1,556","3,000","2,000","2,281","1,531","1,214",
,,,,,,,,,,,,,,,"1,608"
233,Others :,Sugar Local,"5,094","5,129","5,249","5,294","5,329","5,283","5,141","4,986","5,135","4,806","4,685","4,747",
,,,,,,,,,,,,,,,"5,073"
234,",,",Sugar Import,"5,034","5,066","5,263","5,284","5,331","5,288","5,476","4,977","5,429","4,758","4,694","4,724",
,,,,,,,,,,,,,,,"5,110"
235,Gur :,Akher Gur,"6,170","6,253","6,275","6,317","6,453","6,401","6,418","6,304","6,409","6,255","6,137","5,918",
,,,,,,,,,,,,,,,"6,276"
236,",,",Khajur Gur,"8,415","8,423","8,483","8,381","8,578","8,113","7,960","7,934","8,236","7,660","8,018","8,147",
,,,,,,,,,,,,,,,"8,196"
237,Salt :,Iodin,"2,977","2,928","2,882","2,876","2,901","2,875","2,849","2,869","2,850","2,760","2,822","2,765",
,,,,,,,,,,,,,,,"2,863"
238,",,",Ordinary,"1,827","1,779","1,773","1,756","1,731","1,724","1,734","1,681","1,701","1,635","1,618","1,644",
,,,,,,,,,,,,,,,"1,717"
239,"Bhushi
(Husk):",Masur Husk,"2,482","2,606","2,609","2,604","2,559","2,656","2,606","2,623","2,655","2,598","2,675","2,587",
,,,,,,,,,,,,,,,"2,605"
240,",,",Gram,"3,164","3,256","3,275","3,295","3,300","3,324","3,293","3,387","3,352","3,356","3,350","3,252",
,,,,,,,,,,,,,,,"3,300"
