Commodity,Unit,2021-22,,2022-23,,2023-24,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"0103-Fowl, domestic weight<=185
gram",No.,-,-,-,-,-,-
"0105-Live poultry other weight
<=185 gram",No.,144932,2788706,112219,3797098,166310,6537739
01051490 Live poultry-other,No.,163,185,48,141,-,
"0106-Live animals, other for
human food",No.,44241,360409,21895,291326,8340,159854
"0202- Meat bovine animals
boneless, frozen",Kg,13292320,5803968,989042,447271,27986,12321
"0401- Milk & cream other fat 1% +
<=6%",Liter,761674,81034,735387,110295,547859,99016
"Skim milk powder fat <=1.5%
w/sugar",Kg,-,-,-,-,-,
"0402-Milk powder fat <=1.5%
w/sugar",Kg,155051623,40146662,121964899,42222942,141371,49043404
Milk powder not sugar fat 1.5% +,Kg,-,-,-,-,-,-
"Cream powder not sugar fat 1.5%
+",Kg,-,-,-,-,-,-
Milk/cream powder etc. other,Kg,-,-,-,-,-,-
"Milk/cream other not containing
sugar",Kg,-,-,-,-,-,-
"Milk and cream with sugar, other",Kg,,-,-,-,-,-
"0404- Whey containing sugar/
sweet or not",Kg,14154793,1308898,13135968,1538685,9157659,1064054
"Butter, canned, fresh/ frozen",Kg,-,-,-,-,-,-
"Butter, melted (ghee)",Kg,,-,-,-,-,-
040510- Butter oil,Kg,645136,275488,704553,429771,230965,153716
04069000- Cheese-other,Kg,822569,250752,589122,262301,707799,328113
0409- Natural honey,Kg,987624,328932,633815,237123,848531,309601
"0505-Feathers used for stuffing:
down",Kg,1188570,7276425,1066898,7984345,986742,8232850
"0508-Coral & similar material
unworked",Kg,1177074,21376,974244,21506,965167,18799
Natural sponges of,Kg,-,-,,-,-,-
animal origin,,-,-,,-,-,-
05111000 Bovine animal semen,Kg,26,7329,161,23929,416,183608
"05119100 Pot fish/crustacean
etc N/for human",Kg,5598367,257492,12905627,780294,15856736,1079888
"06011000- Live plants, other
incl. their roots",Kg,2339,1780,3,18,9,1
"0701 Potatoes fresh or chilled
seed",Kg,2997001,330039,6325838,742722,102223129,2780897
"07011090 Potatoes fresh or
chilled: other",Kg,2996937,330016,6325830,742716,3319295,616882
"0702 Tomatoes, fresh or chilled",Kg,46345402,2006143,39464020,1946454,48828639,2717765
0703 Onion and shallots,Kg,755883739,26712780,883551362,38262655,765452503,49559655
07032090 Garlic,Kg,59462385,5436250,117547248,13285663,151094020,20869223
"0707-Cucumber gherkin
fresh/chilled",Kg,4416,595,1128,174,1278,279
"0708-Peas (pisum sativum)
fresh/chill",Kg,113183,5084,47206,5100,382171,22405
"0709-Vegetable, fresh or chilled:
other",Value,11467822,534353,4789417,278395,33850652,1947879
"07132090 -Peas shelled,
skinned or not",Kg,343568267,18936580,302667517,25405531,181199525,15487244
"07132090-Chick peas shelled,
skinned or not",Kg,-,-,-,-,-,-
"07133590-Beans dry shelled,
skinned or not",Kg,1,0.4,6,4,-,-
"07134090-Lentils, dried, shelled",Kg,479785402,35743785,605079667,60487966,524140424,58171493
skin or not,,-,-,8757185,934011,-,-
"07139090-Leguminous Veg
seeds, dry shelled",Kg,1819555,128418,8757185,934011,356706582,23021901
"08012290-Cashew nut fresh/ dry
shelld or not",Kg,1947,626,517,167459,2992,2036
"08021190-Almonds, in shell",Kg,2926,670,2970195,554289868,125,64
"08021290-Almonds, shelled",Kg,1956610,308616,289153795,25437180,2119758,935578
1205 Rape seed broken or not,Kg,449398822,32038642,10576991,1109807,273436579,26560869
