102,",,","Bangle-6 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
103,",,","Bang;a-7 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
104,",,","Bang;a-8 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
105,",,",Varginia(air),-,-,-,-,-,-,-,-,-,-,-,-,-
106,",,",Dv- 1(air),-,-,-,-,-,-,-,-,-,-,-,-,-
107,",,","DV-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
108,",,","DV-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
109,"Hide skin:
COW",Light,"41,121","41,370","41,159","41,007","39,574","38,179","37,933","31,493","27,181","24,090","24,039","23,854",
,,,,,,,,,,,,,,,"34,250"
110,",,",Medium,"64,711","64,711","64,330","63,987","62,273","61,149","60,643","50,360","43,620","37,426","37,088","36,921",
,,,,,,,,,,,,,,,"53,935"
111,",,",heavy,"92,260","92,427","91,663","91,510","88,457","87,213","86,520","74,151","64,831","57,605","57,054","56,654","78,362"
112,",,",katachera,"18,500","18,500","18,500","18,457","18,307","22,386","22,286","25,143","13,968","12,333","12,464","12,464","17,776"
113,"Hide skin
Bufello",heavy,"78,400","79,600","79,800","79,800","80,000","81,200","81,200","58,500","57,400","50,800","51,750","51,750",
,,,,,,,,,,,,,,,"69,183"
114,",,",medium,"52,875","53,625","53,625","53,625","53,625","53,375","53,375","47,500","42,500","39,125","39,563","39,563","48,531"
115,",,",katachera,-,-,-,-,-,-,-,-,-,-,-,-,-
116,Hide skin,Sheep,"4,489","4,496","4,496","4,511","4,489","4,446","4,418","4,199","3,572","3,696","3,432","3,432","4,140"
117,",,",Goat,"6,310","6,331","6,348","6,360","6,285","6,238","6,243","5,550","4,974",-,-,-,"6,071"
118,"Chemical
fertilizer",Uria 50 kg,786,786,786,786,786,786,786,786,786,786,786,786,
,,,,,,,,,,,,,,,786
119,",,","TSP ,,","1,089","1,089","1,089","1,089","1,089","1,089","1,087","1,087","1,087","1,091","1,091","1,092","1,089"
120,",,","DAP ,,","1,235","1,235","1,235","1,235","1,235","1,235","1,235","1,235","1,235","1,236","1,235","1,236","1,235"
121,",,","MP ,,",732,732,732,732,732,732,732,732,732,732,732,732,732
122,",,",Zinc LOCAL,"3,088","3,088","3,088","3,088","3,088","3,088","3,088","3,088","3,088","3,088","3,088","3,088","3,088"
123,",,",Zinc foreign,"3,671","3,671","3,671","3,671","3,671","3,668","3,668","3,668","3,668","3,664","3,667","3,667","3,668"
124,",,",Zipsum,159,159,159,159,159,159,159,159,159,159,159,162,159
125,"Organic
fertilizer",Cowdung,117,117,117,117,117,117,117,117,117,117,117,117,
,,,,,,,,,,,,,,,117
126,Powder milk,Bag,"55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000","55,000"
127,Cow Milk,liquid,"5,157","5,148","5,146","5,144","5,196","5,201","5,183","5,225","5,233",-,-,-,"5,181"
128,",,",milkvita,-,-,-,-,-,-,-,"8,500","8,500",-,-,-,"8,500"
129,Gawa ghee,-,"79,473","79,473","79,473","78,140","78,420","78,700","78,700","80,440","80,440","80,720","80,550","80,550","79,590"
130,Dano,--,"6,519","6,519","6,519","6,519","6,499","6,474","6,485","6,506","6,506","6,569","6,569","6,569","6,521"
131,Red cow,-,"6,455","6,455","6,455","6,455","6,350","6,175","6,175","6,088","6,088","6,350","6,175","6,175","6,283"
132,Anchor,-,"5,940","5,940","5,940","5,940","5,925","5,900","5,925","5,925","5,925","6,000","6,000","6,000","5,947"
133,Condensed,One kartoon,"2,193","2,192","2,190","2,188","2,194","2,193","2,194","2,194","2,193","2,184","2,184","2,184","2,190"
