District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
None,None,Area,None,Yield Rate,None,"Product
ion",Area,None,Yield Rate,None,"Productio
n"
None,None,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,127270,51526,30.61,2.822,145417,129555,52430,31.50,2.905,152332
2,Barishal,118746,48075,26.21,2.417,116175,122252,49475,31.10,2.869,141920
3,Bhola,353190,142992,32.23,2.972,424909,399044,161491,32.92,3.036,490352
4,Jhalokathi,28946,11719,29.97,2.763,32382,29150,11797,32.56,3.003,35428
5,Patuakhali,256036,103658,29.01,2.675,277253,264276,106951,31.52,2.907,310936
6,Pirojpur,23470,9502,29.22,2.694,25599,25087,10153,32.10,2.961,30059
Barishal Division,None,907658,367473,30.16,2.780,1021735,969364,392296,35.77,2.960,1161028
7,Bandarban,25004,10123,31.11,2.868,29036,23170,9377,32.10,2.961,27762
8,Brahmanbaria,120995,48986,33.11,3.053,149539,118721,48046,33.76,3.114,149609
9,Chandpur,57022,23076,25.95,2.394,55234,65394,26465,30.75,2.836,75060
10,Chattogram,376788,152546,29.35,2.706,412793,361997,146498,33.63,3.102,454421
11,Cumilla,276881,112098,29.01,2.675,299825,272324,110208,32.75,3.021,332908
12,Cox’s Bazar,174942,70827,32.24,2.972,210531,168354,68132,33.75,3.113,212092
13,Feni,147318,59643,34.42,3.173,189275,151519,61319,34.80,3.210,196822
14,Khagrachari,63976,25901,36.53,3.368,87236,63821,25828,36.91,3.404,87930
15,Laxmipur,171951,69616,30.25,2.789,194159,169696,68675,31.88,2.940,201938
16,Noakhali,312971,126709,32.38,2.985,378276,318842,129033,32.67,3.013,388822
17,Rangamati,23557,9537,31.86,2.937,28015,23303,9431,32.50,2.998,28270
"Chattogram
Division",None,1751404,709061,31.11,2.868,2033918,1737140,703011,33.24,3.066,2155635
18,Dhaka,6768,2740,28.56,2.633,7215,7323,2964,31.15,2.873,8515
19,Faridpur,165500,67004,34.58,3.188,213624,162982,65958,35.50,3.274,215971
20,Gazipur,96717,39157,28.73,2.649,103721,94918,38413,32.80,3.025,116212
21,Gopalgonj,26585,10763,26.35,2.429,26148,27666,11196,31.60,2.915,32633
22,Kishoregonj,185524,75111,32.48,2.995,224928,157021,63546,33.80,3.118,198108
23,Madaripur,24253,9819,33.31,3.071,30156,27075,10957,35.85,3.307,36231
24,Manikgonj,23636,9569,31.51,2.905,27800,25816,10448,32.56,3.003,31376
25,Munsigonj,3914,1584,27.75,2.560,4054,5287,2139,32.40,2.988,6394
26,Narayangonj,4275,1731,29.9,2.757,4771,4236,1714,31.25,2.882,4941
27,Narsingdi,80934,32767,31.23,2.879,94347,84094,34032,33.26,3.068,104404
28,Rajbari,107250,43421,29.4,2.711,117699,101172,40944,32.20,2.970,121603
29,Shariatpur,5436,2201,28.20,2.600,5722,10042,4064,31.86,2.939,11942
30,Tangail,191814,77657,30.4,2.803,217661,192707,77987,32.53,3.000,233996
Dhaka Division,None,922606,373524,31.30,2.886,1077847,900339,364362,33.40,3.080,1122327
31,Bagerhat,81473,32985,30.63,2.824,93151,84617,34244,32.35,2.984,102178
32,Chuadanga,82299,33319,32.18,2.967,98857,76838,31096,33.10,3.053,94936
33,Jashore,344093,139309,31.5,2.904,404589,319958,129485,32.47,2.995,387795
34,Jhenaidah,255067,103266,36.35,3.351,"346087.
5",235658,95369,37.20,3.431,327229.5
35,Khulna,178927,72440,31.23,2.879,208581,177105,71673,33.50,3.090,221464
36,Kushtia,214492,86839,33.7,3.107,269816,179267,72548,34.10,3.145,228182
37,Magura,149545,60545,29.99,2.765,167408,122907,49740,31.52,2.907,144607
