District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,43.00,160.00,38.00,153.00,34.00,135.00
2,Barishal,319.00,1023.00,357.00,1101.00,355.00,1090.00
3,Bhola,150.00,349.00,146.00,452.00,174.00,572.00
4,Jhallokati,250.00,915.00,261.00,972.00,265.00,979.00
5,Patuakhali,108.00,450.00,110.00,352.00,180.00,490.00
6,Pirojpur,96.00,262.00,100.00,271.00,107.00,286.00
Barishal Division,None,966.00,3159.00,1012.00,3301.00,1115.00,3552.00
7,Bandarban,355.00,825.60,356.90,830.81,359.50,1153.98
8,Brahmanbaria,252.20,690.75,256.15,704.8,244.95,837.31
9,Chandpur,229.07,568.69,232.84,579.15,233.11,704.06
10,Chattogram,758.76,2750.99,762.88,2766.77,736.27,2769.26
11,Cumilla,412.61,1471.44,405.8,2166.66,434.40,2168.05
12,Cox’s Bazar,178.27,548.15,204.54,613.08,199.74,599.58
13,Feni,57.20,98.25,58.40,195,58.90,240.00
14,Khagrachari,762.40,3021.80,788.20,3157.25,809.90,3275.92
15,Lakshmipur,155.00,465.00,163.00,513.33,160.70,500.52
16,Noakhali,222.90,972.82,220.02,893.94,232.38,951.69
17,Rangamati,606.80,1712.14,585.05,1679.17,579.90,1673.64
Chattogram Division,None,3990.21,13125.63,4033.78,14099.96,4049.75,14874.01
18,Dhaka,537.40,1530.55,607.03,3730.35,620.18,4168.88
19,Faridpur,293.04,732.21,307.4,964.95,329.35,1037.00
20,Gazipur,321.09,1052.16,370.29,1146.91,346.14,1174.36
21,Gopalganj,525.19,3070.49,474.4,2651.67,483.10,2704.59
22,Kishoreganj,210.68,1141.85,194.83,1080.96,202.35,1113.06
23,Madaripur,388.50,1967.11,374.88,1785.48,385.81,1822.94
24,Manikganj,536.38,3639.82,592.6,4163,757.24,5038.39
25,Munshiganj,515.65,3165.10,515.65,3165.10,515.59,2925.90
26,Narayanganj,285.98,1498.09,270.97,1174.88,263.43,1064.07
27,Narsingdi,357.68,1334.96,370.91,1418.15,374.68,1476.40
28,Rajbari,739.00,6063.80,745.00,6615.50,756.00,6501.10
29,Shariatpur,211.00,1856.00,214.00,1900.00,217.00,1924.00
30,Tangail,843.55,3108.98,873.87,3246.99,882.46,3480.94
Dhaka Division,None,5765.14,30161.12,5911.83,33043.94,6133.33,34431.63
31,Bagerhat,428.00,1499.00,435.00,1572.68,451.60,1686.40
32,Chuadanga,3586.00,25481.00,3562.50,23705.30,2697.50,17627.13
33,Jashore,1313.00,6688.00,1313.00,6684.00,1334.20,6833.81
34,Jhenaidah,992.00,5803.00,999.00,5820.61,1009.96,5856.22
35,Khulna,406.00,3058.00,421.62,3227.90,427.44,3279.71
36,Kushtia,632.00,4445.00,651.00,5187.00,583.00,6259.00
37,Magura,297.00,1310.00,302.82,1816.14,312.24,1889.90
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,350.00,2274.00,358.00,2414.61,380.00,2454.80
39,Narail,252.00,980.00,258.00,1018.68,259.00,1024.25
40,Satkhira,429.00,1767.00,437.00,1802.87,455.42,1921.28
Khulna Division,None,8685.00,53305.00,8737.94,53249.79,7910.36,48832.50
41,Jamalpur,587.00,2090.00,592.00,2108.00,606.00,2213.00
42,Mymensingh,833.00,3315.00,843.00,3356.00,844.00,3427.00
43,Netrokona,287.00,1222.00,285.00,1253.00,284.00,1262.00
